,id,n_victimas,anio,mes,dia,fecha,hora,franja_hora,comuna,tipo_calle,cruce,geocodificacion_CABA,longitud,latitud,victima,acusado,gravedad,vehiculo,sexo,edad,dia_noche
26159,LC-2021-0559285,3,2021,November,9,,1900-01-01 10:30:00,10,1,AVENIDA,si,Point (107461.176446497 104497.750644719),-58.381972268502,-34.588698726116,MOTO,AUTO,leve,MOTO,varon,31-40,Día
26161,LC-2021-0559285,3,2021,November,9,,1900-01-01 10:30:00,10,1,AVENIDA,si,Point (107461.176446497 104497.750644719),-58.381972268502,-34.588698726116,MOTO,AUTO,leve,MOTO,mujer,31-40,Día
26163,LC-2021-0559452,1,2021,November,9,,1900-01-01 14:30:00,14,9,CALLE,si,Point (99458.1349452638 97258.0713267263),-58.469211019686,-34.653986607439,MOTO,AUTO,leve,MOTO,varon,31-40,Día
26164,LC-2021-0559635,1,2021,November,9,,1900-01-01 14:10:00,14,12,CALLE,si,Point (96738.5032220303 105827.961267662),-58.498844898783,-34.576728949732,PEATON,CAMIONETA,leve,PEATON,mujer,61-70,Día
26165,LC-2021-0559735,1,2021,November,9,,1900-01-01 15:49:00,15,15,AVENIDA,si,Point (102838.303647389 104047.397468045),-58.432360384273,-34.592781338162,MOTO,AUTO,leve,MOTO,varon,31-40,Día
26166,LC-2021-0559815,1,2021,November,9,,1900-01-01 14:15:00,14,15,AVENIDA,no,Point (100854.259466358 103629.601914877),-58.453987256438,-34.596550990726,MOTO,AUTO,leve,MOTO,varon,31-40,Día
26167,LC-2021-0559906,1,2021,November,9,,1900-01-01 16:00:00,16,11,CALLE,si,Point (96788.9367709607 102199.614555007),-58.498309201963,-34.609436620166,MOTO,AUTO,leve,MOTO,varon,11-20,Día
26169,LC-2021-0560125,1,2021,November,9,,1900-01-01 17:00:00,17,11,GRAL PAZ,si,Point (94879.1290936857 104434.540057847),-58.519117770109,-34.589282193913,MOTO,AUTO,leve,MOTO,varon,21-30,Día
26171,LC-2021-0575258,1,2021,November,9,,1900-01-01 10:00:00,10,4,CALLE,si,Point (105476.26761373 97963.5598092823),-58.403566126304,-34.647612920057,MOTO,AUTO,leve,MOTO,varon,51-60,Día
26172,LC-2021-0560644,1,2021,November,10,,1900-01-01 05:15:00,5,4,CALLE,si,Point (104446.47951803 97219.8519131997),-58.414794955542,-34.654321894147,PEATON,AUTO,leve,PEATON,varon,41-50,Noche
26173,LC-2021-0560703,1,2021,November,10,,1900-01-01 07:30:00,7,9,GRAL PAZ,si,Point (93889.8678986184 98745.5934817346),-58.529942190033,-34.640559183402,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,leve,TRANSPORTE PUBLICO,varon,21-30,Día
26177,LC-2021-0560990,1,2021,November,10,,1900-01-01 09:10:00,9,12,CALLE,no,Point (97466.4035109032 107336.558801411),-58.490907284895,-34.563131828544,MOTO,AUTO,leve,MOTO,varon,21-30,Día
26181,LC-2021-0561342,1,2021,November,10,,1900-01-01 11:00:00,11,4,CALLE,no,Point (107962.31355075 99011.2633000224),-58.376458715477,-34.638152382589,CAMIONETA,TRANSPORTE PUBLICO,leve,UTILITARIO,varon,31-40,Día
26183,LC-2021-0561417,1,2021,November,10,,1900-01-01 08:35:00,8,14,AVENIDA,si,Point (102108.128875153 107087.128563012),-58.440327067780,-34.565381521765,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,leve,TRANSPORTE PUBLICO,mujer,51-60,Día
26184,LC-2021-0561460,1,2021,November,10,,1900-01-01 13:00:00,13,8,AVENIDA,si,Point (97612.3760922644 94761.8126826032),-58.489352874949,-34.676485975842,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,leve,TRANSPORTE PUBLICO,varon,71-80,Día
26185,LC-2021-0561538,1,2021,November,10,,1900-01-01 00:00:00,0,SD,SD,no,SD,SD,SD,MOTO,CAMIONETA,grave,MOTO,varon,11-20,Noche
26186,LC-2021-0561563,1,2021,November,10,,1900-01-01 11:40:00,11,3,AVENIDA,si,Point (106566.405396026 101230.397966054),-58.391700259041,-34.618158071252,MOTO,MOTO,leve,MOTO,varon,21-30,Día
26188,LC-2021-0561764,2,2021,November,10,,1900-01-01 14:00:00,14,3,AVENIDA,si,Point (106485.538797391 103024.481555627),-58.39259561619,-34.601985978856,PEATON,MOTO,leve,PEATON,mujer,21-30,Día
26189,LC-2021-0561914,1,2021,November,10,,1900-01-01 13:45:00,13,9,GRAL PAZ,si,Point (94273.892376981 96934.4929922463),-58.525766059083,-34.656887319301,MOTO,CAMIONETA,leve,MOTO,mujer,31-40,Día
26190,LC-2021-0561930,1,2021,November,10,,1900-01-01 14:10:00,14,7,AVENIDA,no,Point (103370.074525195 100040.708913798),-58.426548112241,-34.628897702161,MOTO,AUTO,leve,MOTO,varon,21-30,Día
26191,LC-2021-0562116,1,2021,November,10,,1900-01-01 17:05:00,17,11,AVENIDA,no,Point (94637.4510961972 101893.667170092),-58.521768306719,-34.612185453949,PEATON,MOTO,leve,PEATON,mujer,71-80,Día
26193,LC-2021-0562410,2,2021,November,10,,1900-01-01 18:00:00,18,14,AVENIDA,si,Point (105241.055629827 105080.521026575),-58.406175269075,-34.583458982072,MOTO,MOTO,leve,MOTO,mujer,21-30,Día
26194,LC-2021-0562410,2,2021,November,10,,1900-01-01 18:00:00,18,14,AVENIDA,si,Point (105241.055629827 105080.521026575),-58.406175269075,-34.583458982072,MOTO,MOTO,leve,MOTO,varon,11-20,Día
26195,LC-2021-0562443,1,2021,November,10,,1900-01-01 18:30:00,18,14,CALLE,si,Point (103043.572698159 104645.213188653),-58.430124932720,-34.587391785387,PEATON,AUTO,leve,PEATON,varon,21-30,Día
26196,LC-2021-0562464,1,2021,November,10,,1900-01-01 15:25:00,15,15,CALLE,no,Point (100959.008807038 105077.259909549),-58.452846915186,-34.583501070771,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,leve,TRANSPORTE PUBLICO,mujer,41-50,Día
26197,LC-2021-0562480,1,2021,November,10,,1900-01-01 18:00:00,18,14,CALLE,si,Point (104272.042545459 104951.596325554),-58.416736266818,-34.584625601915,TRANSPORTE PUBLICO,AUTO,leve,TRANSPORTE PUBLICO,mujer,0-10,Día
26198,LC-2021-0562561,2,2021,November,10,,1900-01-01 17:50:00,17,SD,SD,no,Point (101628.84215147179202177 99361.2597221999312751),-58.4455355429573,-34.6350266672223,CAMIONETA,AUTO,leve,UTILITARIO,mujer,41-50,Día
26199,LC-2021-0562561,2,2021,November,10,,1900-01-01 17:50:00,17,SD,SD,no,Point (101628.84215147179202177 99361.2597221999312751),-58.4455355429573,-34.6350266672223,CAMIONETA,AUTO,leve,UTILITARIO,mujer,21-30,Día
26200,LC-2021-0562639,1,2021,November,10,,1900-01-01 20:15:00,20,1,AVENIDA,si,Point (107638.308135877 100788.281627915),-58.380008382205,-34.622136118522,MOTO,CAMIONETA,grave,MOTO,varon,21-30,Noche
26201,LC-2021-0565508,1,2021,November,10,,1900-01-01 18:30:00,18,4,AVENIDA,si,Point (105904.093437312 99260.9311657147),-58.398908460349,-34.635915591737,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,leve,TRANSPORTE PUBLICO,varon,51-60,Día
26202,LC-2021-0566117,1,2021,November,10,,1900-01-01 17:30:00,17,9,GRAL PAZ,no,Point (93972.2181944716 99266.4222822017),-58.529040270193,-34.635864733051,MOTO,OBJETO FIJO,leve,MOTO,varon,21-30,Día
26204,LC-2021-0563055,1,2021,November,11,,1900-01-01 08:50:00,8,9,AVENIDA,si,Point (95789.1979090586 96918.2369345553),-58.509235704679,-34.657041286437,MOTO,AUTO,leve,MOTO,varon,21-30,Día
26205,LC-2021-0563139,1,2021,November,11,,1900-01-01 09:00:00,9,8,CALLE,si,Point (98704.1068104511 95222.6268952026),-58.477439662261,-34.672334071713,MOTO,CAMIONETA,leve,MOTO,varon,31-40,Día
26206,LC-2021-0563152,2,2021,November,11,,1900-01-01 07:25:00,7,9,CALLE,no,Point (94563.1535934849 99199.2364331537),-58.522595831723,-34.636473706553,MOTO,MOTO,leve,MOTO,varon,31-40,Día
26207,LC-2021-0563152,2,2021,November,11,,1900-01-01 07:25:00,7,9,CALLE,no,Point (94563.1535934849 99199.2364331537),-58.522595831723,-34.636473706553,MOTO,MOTO,leve,MOTO,varon,21-30,Día
26208,LC-2021-0563907,1,2021,November,11,,1900-01-01 14:05:00,14,7,CALLE,si,Point (100358.260139183 101350.522334631),-58.459393375148,-34.617095837720,TRANSPORTE PUBLICO,AUTO,leve,TRANSPORTE PUBLICO,varon,11-20,Día
26209,LC-2021-0563969,1,2021,November,11,,1900-01-01 14:25:00,14,13,CALLE,si,Point (101760.693649048 106537.928066871),-58.444111974782,-34.570332912280,MOTO,CAMIONETA,leve,MOTO,varon,31-40,Día
26210,LC-2021-0564065,1,2021,November,11,,1900-01-01 12:20:00,12,15,AVENIDA,si,Point (101149.637741543 104501.556762198),-58.450768435285,-34.588690532901,MOTO,AUTO,leve,MOTO,varon,31-40,Día
26213,LC-2021-0564263,1,2021,November,11,,1900-01-01 15:00:00,15,1,CALLE,si,Point (106696.877001024 101138.760209272),-58.390276891492,-34.618983293958,AUTO,CAMION,leve,AUTO,mujer,21-30,Día
26214,LC-2021-0564295,2,2021,November,11,,1900-01-01 14:50:00,14,4,CALLE,no,Point (107934.413446927 99321.2268192237),-58.376765890339,-34.635358472883,AUTO,CAMION,leve,AUTO,varon,31-40,Día
26215,LC-2021-0564295,2,2021,November,11,,1900-01-01 14:50:00,14,4,CALLE,no,Point (107934.413446927 99321.2268192237),-58.376765890339,-34.635358472883,AUTO,CAMION,leve,AUTO,mujer,21-30,Día
26216,LC-2021-0564330,1,2021,November,11,,1900-01-01 16:40:00,16,9,CALLE,si,Point (95159.4339686951 97157.4074124082),-58.516104416221,-34.654882506041,MOTO,AUTO,leve,MOTO,mujer,21-30,Día
26217,LC-2021-0564341,2,2021,November,11,,1900-01-01 16:00:00,16,1,AVENIDA,si,Point (107433.370417161 103602.849008086),-58.382267581302,-34.596765956198,AUTO,AUTO,leve,AUTO,mujer,21-30,Día
26218,LC-2021-0564341,2,2021,November,11,,1900-01-01 16:00:00,16,1,AVENIDA,si,Point (107433.370417161 103602.849008086),-58.382267581302,-34.596765956198,AUTO,AUTO,leve,AUTO,mujer,61-70,Día
26220,LC-2021-0564439,1,2021,November,11,,1900-01-01 17:45:00,17,15,CALLE,si,Point (101489.966859461 104550.377985795),-58.447058909105,-34.588250017514,PEATON,AUTO,leve,PEATON,varon,61-70,Día
26221,LC-2021-0564601,1,2021,November,11,,1900-01-01 15:40:00,15,1,CALLE,no,Point (106666.818941476 101959.218615595),-58.390611039234,-34.611587547493,MOTO,TAXI,leve,MOTO,varon,31-40,Día
26222,LC-2021-0564727,1,2021,November,11,,1900-01-01 17:20:00,17,7,CALLE,no,Point (100931.978322329 99218.9067087209),-58.453135476587,-34.636310723551,MOTO,AUTO,leve,MOTO,mujer,21-30,Día
26223,LC-2021-0564730,1,2021,November,11,,1900-01-01 20:30:00,20,3,AVENIDA,si,Point (106565.527583232 101711.19167744),-58.391713520434,-34.613824010185,MOTO,TRANSPORTE PUBLICO,grave,MOTO,varon,21-30,Noche
26225,LC-2021-0564930,1,2021,November,11,,1900-01-01 21:15:00,21,12,CALLE,si,Point (98554.2269953249 106570.01765714),-58.479054922607,-34.570043961116,MOTO,MOTO,leve,MOTO,varon,21-30,Noche
26226,LC-2021-0566965,1,2021,November,11,,1900-01-01 16:00:00,16,5,AVENIDA,si,Point (104341.046974368 99764.9806603854),-58.415957957274,-34.631379624165,MOTO,CAMIONETA,leve,MOTO,varon,21-30,Día
26228,LC-2021-0572508,1,2021,November,11,,1900-01-01 13:00:00,13,14,AVENIDA,si,Point (103599.113470393 106483.0425033),-58.424077262795,-34.570822981848,PEATON,AUTO,leve,PEATON,mujer,31-40,Día
26229,LC-2021-0565110,1,2021,November,12,,1900-01-01 00:00:00,0,SD,SD,no,SD,SD,SD,MOTO,AUTO,grave,MOTO,varon,11-20,Noche
26230,LC-2021-0565414,1,2021,November,12,,1900-01-01 08:35:00,8,12,AVENIDA,no,Point (96938.5788832037 107264.8407532),-58.496659107779,-34.563776865242,PEATON,CAMIONETA,leve,PEATON,mujer,41-50,Día
26231,LC-2021-0565637,1,2021,November,12,,1900-01-01 10:00:00,10,4,AVENIDA,si,Point (108865.876963116 100102.045071227),-58.366615325536,-34.628312307308,PEATON,AUTO,leve,PEATON,mujer,11-20,Día
26232,LC-2021-0565713,1,2021,November,12,,1900-01-01 10:10:00,10,1,AVENIDA,no,Point (109013.795769972 100718.733585639),-58.365008752975,-34.622751961798,MOTO,CAMIONETA,leve,MOTO,varon,21-30,Día
26234,LC-2021-0566194,1,2021,November,12,,1900-01-01 14:15:00,14,13,AVENIDA,si,Point (101959.482880716 106414.471122609),-58.441945359603,-34.571445462426,MOTO,AUTO,leve,MOTO,mujer,21-30,Día
26235,LC-2021-0566232,1,2021,November,12,,1900-01-01 09:00:00,9,10,CALLE,no,Point (97436.1145618876 100323.248369791),-58.491258963192,-34.626352795726,CAMION,MOTO,leve,CAMION,varon,41-50,Día
26236,LC-2021-0566316,1,2021,November,12,,1900-01-01 14:20:00,14,1,AVENIDA,si,Point (107463.712955726 103090.51407032),-58.381932343475,-34.601384141356,TRANSPORTE PUBLICO,AUTO,leve,TRANSPORTE PUBLICO,mujer,41-50,Día
26237,LC-2021-0566435,1,2021,November,12,,1900-01-01 15:20:00,15,15,AVENIDA,no,Point (102927.705366053 103759.399065167),-58.431384878118,-34.595377235615,PEATON,AUTO,leve,PEATON,varon,51-60,Día
26239,LC-2021-0566486,1,2021,November,12,,1900-01-01 17:30:00,17,12,GRAL PAZ,si,Point (96563.6649481764 108815.738810569),-58.500738109269,-34.549795102200,MOTO,CAMIONETA,leve,MOTO,varon,11-20,Día
26240,LC-2021-0566654,1,2021,November,12,,1900-01-01 17:00:00,17,10,CALLE,no,Point (98905.0594895739 99309.6125141996),-58.475241515608,-34.635492797433,MOTO,OTRO,leve,MOTO,varon,31-40,Día
26241,LC-2021-0566671,1,2021,November,12,,1900-01-01 17:50:00,17,12,AVENIDA,si,Point (96670.8172407571 106051.838580096),-58.499581683067,-34.574710595038,MOTO,CAMION,leve,MOTO,varon,11-20,Día
26244,LC-2021-0566723,1,2021,November,12,,1900-01-01 18:30:00,18,9,CALLE,si,Point (95580.8755637417 97421.3023319026),-58.511505634901,-34.652505592422,MOTO,AUTO,leve,MOTO,varon,21-30,Día
26245,LC-2021-0566740,1,2021,November,12,,1900-01-01 18:04:00,18,14,CALLE,si,Point (102959.587708379 105345.227987972),-58.431042752987,-34.581081776409,AUTO,AUTO,leve,AUTO,varon,21-30,Día
26246,LC-2021-0566797,1,2021,November,12,,1900-01-01 18:40:00,18,1,AVENIDA,si,Point (108173.996362484 100809.331213509),-58.374167213463,-34.621942269839,MOTO,AUTO,leve,MOTO,varon,51-60,Día
26247,LC-2021-0566855,2,2021,November,12,,1900-01-01 19:30:00,19,7,AVENIDA,no,Point (100267.336812714 100918.908736522),-58.460384674582,-34.620986599052,MOTO,AUTO,leve,MOTO,varon,51-60,Noche
26248,LC-2021-0566855,2,2021,November,12,,1900-01-01 19:30:00,19,7,AVENIDA,no,Point (100267.336812714 100918.908736522),-58.460384674582,-34.620986599052,MOTO,AUTO,leve,MOTO,varon,41-50,Noche
26249,LC-2021-0566870,1,2021,November,12,,1900-01-01 18:00:00,18,1,CALLE,si,Point (107776.399581461 100194.506942236),-58.378497168021,-34.627487601341,PEATON,TRANSPORTE PUBLICO,leve,PEATON,varon,21-30,Día
26250,LC-2021-0567048,1,2021,November,12,,1900-01-01 22:50:00,22,15,AVENIDA,no,Point (98378.7933477177 104334.444172566),-58.480971142703,-34.590196175790,TAXI,AUTO,leve,TAXI,varon,31-40,Noche
26252,LC-2021-0567095,3,2021,November,12,,1900-01-01 23:30:00,23,15,CALLE,si,Point (101614.203417952 104616.619402518),-58.445704851595,-34.587652706666,PEATON,AUTO,leve,PEATON,mujer,31-40,Noche
26253,LC-2021-0567095,3,2021,November,12,,1900-01-01 23:30:00,23,15,CALLE,si,Point (101614.203417952 104616.619402518),-58.445704851595,-34.587652706666,PEATON,AUTO,leve,PEATON,varon,21-30,Noche
26254,LC-2021-0567095,3,2021,November,12,,1900-01-01 23:30:00,23,15,CALLE,si,Point (101614.203417952 104616.619402518),-58.445704851595,-34.587652706666,PEATON,AUTO,leve,PEATON,varon,41-50,Noche
26256,LC-2021-0574372,1,2021,November,12,,1900-01-01 10:00:00,10,4,CALLE,si,Point (104965.539756865 99177.4196692004),-58.409144060343,-34.636673319752,MOTO,OBJETO FIJO,leve,MOTO,varon,31-40,Día
26257,LC-2021-0596415,1,2021,November,12,,1900-01-01 12:20:00,12,9,AVENIDA,si,Point (96405.7667934803 94981.3801379188),-58.502517906284,-34.674503135662,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,leve,TRANSPORTE PUBLICO,mujer,41-50,Día
26260,LC-2021-0567362,2,2021,November,13,,1900-01-01 05:20:00,5,1,AVENIDA,si,Point (107595.350843336 101797.500528148),-58.380485777658,-34.613038937486,MIXTO,AUTO,leve,MIXTO,varon,21-30,Noche
26261,LC-2021-0567362,2,2021,November,13,,1900-01-01 05:20:00,5,1,AVENIDA,si,Point (107595.350843336 101797.500528148),-58.380485777658,-34.613038937486,MIXTO,AUTO,leve,MIXTO,varon,31-40,Noche
26262,LC-2021-0567418,2,2021,November,13,,1900-01-01 07:50:00,7,15,AVENIDA,no,Point (99312.3630997787 104608.939751919),-58.470794750422,-34.587722849371,MOTO,TAXI,leve,MOTO,varon,21-30,Día
26263,LC-2021-0567418,2,2021,November,13,,1900-01-01 07:50:00,7,15,AVENIDA,no,Point (99312.3630997787 104608.939751919),-58.470794750422,-34.587722849371,MOTO,TAXI,leve,MOTO,varon,21-30,Día
26264,LC-2021-0567441,1,2021,November,13,,1900-01-01 09:00:00,9,4,CALLE,si,Point (109873.886427122 99353.7339521745),-58.355614088485,-34.635048704262,CAMIONETA,AUTO,leve,UTILITARIO,varon,41-50,Día
26265,LC-2021-0567567,1,2021,November,13,,1900-01-01 11:00:00,11,13,AVENIDA,no,Point (100716.953212577 109641.496058399),-58.455488724438,-34.542357017305,MOVIL,CAMIONETA,leve,MOVIL,varon,31-40,Día
26267,LC-2021-0567821,1,2021,November,13,,1900-01-01 00:00:00,0,SD,SD,no,SD,SD,SD,MOTO,AUTO,leve,MOTO,varon,21-30,Noche
26268,LC-2021-0567887,1,2021,November,13,,1900-01-01 13:20:00,13,15,AVENIDA,si,Point (97283.923361658 103571.945590611),-58.492907996304,-34.597067301924,MOTO,AUTO,leve,MOTO,varon,11-20,Día
26269,LC-2021-0567930,1,2021,November,13,,1900-01-01 14:13:00,14,13,CALLE,si,Point (99251.6481497489 109634.717677404),-58.471451792165,-34.542418020435,PEATON,AUTO,leve,PEATON,varon,21-30,Día
26272,LC-2021-0567957,1,2021,November,13,,1900-01-01 14:15:00,14,14,AVENIDA,no,Point (105048.932872263 105129.163871664),-58.408269572876,-34.583021445379,PEATON,TAXI,leve,PEATON,mujer,21-30,Día
26273,LC-2021-0568064,1,2021,November,13,,1900-01-01 15:30:00,15,1,CALLE,si,Point (107449.579017378 102562.950946926),-58.382081831842,-34.606139916537,TAXI,TAXI,leve,TAXI,varon,61-70,Día
26274,LC-2021-0568162,1,2021,November,13,,1900-01-01 16:20:00,16,12,CALLE,no,Point (97915.5661942646 109414.100781023),-58.486007658782,-34.544404863727,AUTO,AUTO,leve,AUTO,varon,21-30,Día
26275,LC-2021-0568233,2,2021,November,13,,1900-01-01 18:05:00,18,4,AVENIDA,si,Point (110071.877513952 99448.9907693086),-58.353455902886,-34.634188109789,MOTO,AUTO,leve,MOTO,varon,41-50,Día
26276,LC-2021-0568233,2,2021,November,13,,1900-01-01 18:05:00,18,4,AVENIDA,si,Point (110071.877513952 99448.9907693086),-58.353455902886,-34.634188109789,MOTO,AUTO,leve,MOTO,mujer,11-20,Día
26278,LC-2021-0568267,1,2021,November,13,,1900-01-01 19:05:00,19,8,CALLE,si,Point (98328.5229870383 95196.6585720481),-58.481537713297,-34.672567594186,CAMIONETA,CAMIONETA,leve,UTILITARIO,mujer,41-50,Noche
26279,LC-2021-0568350,1,2021,November,13,,1900-01-01 20:30:00,20,9,AVENIDA,si,Point (96112.2372703015 97204.2713874977),-58.505710336139,-34.654464167198,AUTO,CAMIONETA,leve,AUTO,varon,51-60,Noche
26284,LC-2021-0568715,2,2021,November,14,,1900-01-01 04:50:00,4,5,AVENIDA,si,Point (104259.588040577 101322.077451582),-58.416854039593,-34.617343681668,AUTO,TRANSPORTE PUBLICO,leve,AUTO,varon,51-60,Noche
26285,LC-2021-0568715,2,2021,November,14,,1900-01-01 04:50:00,4,5,AVENIDA,si,Point (104259.588040577 101322.077451582),-58.416854039593,-34.617343681668,AUTO,TRANSPORTE PUBLICO,leve,AUTO,varon,51-60,Noche
26286,LC-2021-0568781,1,2021,November,14,,1900-01-01 06:30:00,6,13,AVENIDA,si,Point (101216.710080767 109518.748026942),-58.450044196176,-34.543463088325,MOTO,AUTO,leve,MOTO,varon,41-50,Día
26287,LC-2021-0568786,1,2021,November,14,,1900-01-01 07:00:00,7,15,AVENIDA,si,Point (101437.00488441 105100.818253461),-58.447637090259,-34.583288173360,AUTO,MOVIL,leve,AUTO,mujer,31-40,Día
